Tweet,Tweet IDs,Aggression,Arousal1 (1-5),Arousal2 (1-5),Arousal3 (1-5),Sarcasm-Irony-RhetoricalQuestions,Pun-Wordplay,Metaphor-Simile,Stance,Hate Speech,Avg. Arousal
#Notebandi ya #nasbandi @Being_Humor @aartic02  isko bhi aise hi utha le jao Delhi policehttps://twitter.com/Breaking911/status/797992033159966720 …,#798119952670593024,n,3,2,2,YES,NO,NO,n,NO,2.333333333
"#IAmWithModi Bhrastachari Neta sab ek taraf, Notebandi se hogaya hai unka soopda saaf, isliye laga rahe hain sooja hua pichhwade pe baraf.",#798121436590149632,c,3,4,3,NO,NO,YES,f,NO,3.333333333
"Bhrastachari Neta sab ek taraf, Notebandi se hogaya hai unka soopda saaf, isliye laga rahe hain sooja hua pichhwade pe baraf. https://twitter.com/iarunmani/status/798077300986126336 …",#798122064116781056,c,3,4,3,NO,NO,YES,f,NO,3.333333333
#NOTEBANDI SE #MAUTE HONI SHURU HO GAYI H JO UPA GOVT K SAMAY ME BAND HO GAYI THI TV CHA KARIB AISA HI BATATE H 1 @narendramodi @abpnewstv,#798129074577244160,c,3,3,3,NO,NO,NO,f,NO,3
Rohit ji JDU k rajiv ji ko bata de.. k bihar me sharab bandi se jayada safal hai ye notebandi..,#798134246284009473,n,3,2,3,NO,NO,NO,f,NO,2.666666667
@ArvindKejriwal janta khuss h notebandi se Aap kyu Ro rahe h hawala Ka paisa khraab Ho raha h kya,#798135563782066176,c,2,2,1,YES,NO,NO,f,NO,1.666666667
"@narendramodi sirji main apke feshle ke saat huin, K babjudh  main dukkan band sa ho gaya. Desh ke / apne bacche ke khatir Notebandi aacha .",#798137021357170688,n,2,2,1,NO,NO,NO,f,NO,1.666666667
@yogrishiramdev thank god mujhe ramdev ney pehle hi bathadiya #notebandi ke baramey. warna main bhi aaj q mey khada rehta.,#798137112877010944,n,3,3,3,YES,NO,NO,a,NO,3
"#IAmWithModi Jab PM ModiG ne kiya 500 aur 1000 ka notebandi, Tab Media ko saath leke Bank ke Qattar me photo khinchwa raha tha Rahul Gandhi.",#798139464941858816,c,3,4,3,YES,NO,NO,f,NO,3.333333333
"#BlackMoney Jab PM ModiG ne kiya 500 aur 1000 ka notebandi, Tab Media ko saath leke Bank ke Qattar me photo khinchwa raha tha Rahul Gandhi.",#798139669598740480,c,3,4,3,YES,NO,NO,f,NO,3.333333333
"Jab PM ModiG ne kiya 500 aur 1000 ka notebandi, Tab Media ko saath leke Bank ke Qattar me photo khinchwa raha tha Rahul Gandhi. https://twitter.com/SirJadeja/status/797744830717706240 …",#798140266800480256,c,3,4,3,YES,NO,NO,f,NO,3.333333333
@ArvindKejriwal Gareeb janta nahi tumhare jaise cheater netao ko jahar peena pad raha hai notebandi se.16 kg wt kaise badh gaya kejari ?,#798147680048250880,o,3,4,3,YES,NO,YES,n,YES,3.333333333
Desh ke liye har badia kaam me kuch log ki sahadat hoti hai is notebandi se mare hue log bhi sahid mana jaye. @narendramodi @ArvindKejriwal,#798149790332633088,n,1,1,1,NO,NO,NO,f,NO,1
Humare sainik border per sahid ho rahe hai to desh ke ander notebandi me kuch log sahid ho rahe hai. @narendramodi,#798149879985905665,n,2,1,1,NO,NO,NO,f,NO,1.333333333
"@ArvindKejriwal @msisodia Sir mein apse nivedan karna chahta hu pls is notebandi ka virod na kare. Kuch badia ho raha hai , hone de.",#798152282017656836,n,2,2,1,NO,NO,NO,f,NO,1.666666667
Koi notebandi ko lekar itna viroodh kar raha hai aakhir baat kya hai . kahi unke pass to black money nahi.,#798156114420346881,c,3,3,3,YES,NO,NO,f,NO,3
sir kumar vishwas  notebandi bhakto ke liye bawsir ki tarah h taklif to ho rhi pr bol nhi sakte,#798156262361866240,c,3,3,4,NO,NO,YES,a,NO,3.333333333
"Tu 25L ka KalaDhan liya tha, iss liye modi #NoteBandi kiya.",#798157731819491328,c,3,2,2,NO,NO,NO,n,NO,2.333333333
NOTEBANDI  PAR KAM SE KAM UN LOGO KO VIRODH NAHI KARANA CHAHIYE JO ISIE MUDDE PAR SATTA ME AJ HEIN ISME UNKA JARUR FAYDA HOGA GUARENTEE HEI,#798161399532793856,n,2,3,3,NO,NO,NO,n,NO,2.666666667
.MEDIA V VIPAKCHI DAL#NOTEBANDI K KHILAF #JITNE HI #SHANYANTR KAREGE ISE LAGU KARNE KA @narendramodi JI KA #IRADA UTNA HI MAZBUT HOGA @ndtv,#798161618408390657,n,3,3,3,NO,NO,NO,f,NO,3
"Kripya#Notebandi ki samashya par saf suthri chhavi wale log hi koi pratikriya de, bhrasht beta ya sangathan ki ray many a nahi hogi",#798164396149248000,n,2,2,2,NO,NO,NO,f,NO,2
Pura desh apke saath hai sir.  hume umeed hai ke notebandi ki asuvidha jldi hi sahi ho jayegi jai hind,#798164621999775745,n,2,2,2,NO,NO,NO,f,NO,2
.KYO UDTA PUNJAB WALE AUR #NASHAMUKTI WALE #KEJARIWAL JAB @narendramodi JI INKI #NOTEBANDI KAR DI TO KYO BECHAIN HO TUMHARA KYA FANSA HUA H?,#798165512748285954,o,4,4,5,YES,NO,NO,f,NO,4.333333333
"Nasbandi ke baad Indira Sarkaar gayee,Notebandi ke baad Modi Sarkar janà tayy.Indira toh vapas aa gayee,Modi???? https://twitter.com/NavbharatTimes/status/798159454340399104 …",#798168754735587328,c,3,3,3,NO,YES,NO,a,NO,3
sir maine aapne village me notebandi par logo se apil ki hai 2 ya 3 saptah me sab  kuch thik ho jayega.  kisi afbah par dhyan na de.,#798172073709498372,n,2,2,2,NO,NO,NO,f,NO,2
"Kuch TVchannels notebandi per desh ki himmat badhane ke bajay negative news dikha rahe hai,ye kaisi media hai@ndtv @abpnewstv@News24@aajtak",#798172568662507520,n,3,3,2,YES,NO,NO,n,NO,2.666666667
"Notebandi ka faisla leak hua hai,kyon ki @BJP4India mein koi bhi chilla nahin raha hai,matlab sabne pehle paise thikane laga diya",#798172580335095809,c,2,2,2,NO,NO,NO,a,NO,2
@RajatSharmaLive pura desh notebandi ke faisle ke saath hai PR ye murkh kejriwal against h kyunki unka kamaya hua kala dhan bekaar ho gya,#798174158857256960,o,3,4,3,NO,NO,NO,f,NO,3.333333333
abbe #notebandi ki baat karne wale tere baap ko nasbandi karni chahiye thi @shahbhavesh609,#798178020192202752,o,5,5,5,NO,YES,NO,n,YES,5
"CONGRESS PARTY KE SANJAY GANDHI JI AAJ JIVIT HOTE TO ""NASBANDI""KARWAKE KAAM SAB SAHI HO JATE,SIRF""NOTEBANDI"" BINA""NASBANDI""KE BEKAR HAI",#798178663585828865,c,3,3,3,NO,YES,NO,a,NO,3
"REGULAR ""NOTEBANDI"" BOHOT ACHHA HAI MAGER YE TAB HI ZADA FAYEDA DEGA JAB ESKE SATH COMPULSORY ""NASBANDI"" BHI CHALAI JAYE WARNA YE KYA LABH?",#798180804279070720,n,3,3,3,NO,YES,NO,f,NO,3
"Alka ji hume miljulkar is notebandi ka sath dena chahiye. Ye process desh ke liye accha hai, pls virodh na kare",#798182220745752578,n,2,2,3,NO,NO,NO,f,NO,2.333333333
Notebandi ki samasya se nipatne ke liye bank ke alava janta ke liye shahro me chowk and grameen area me note batne ke liye camp lagaye jaye.,#798187312278433792,n,2,2,1,NO,NO,NO,n,NO,1.666666667
Modiji ne notebandi kya kar di puri opposition parties ki nasbandi ho gai.sab ke sab trishanku ho gaye.,#798187670174253056,c,2,2,1,NO,YES,NO,f,NO,1.666666667
#IAmWithModi.  Ye 4- 4 karor ki karo mei chalne wale opposition ke leaders ne 1000-500 notebandi par Akash Jamin ek kiyon kar Rakhi hai.,#798190630102908928,c,3,2,2,YES,NO,NO,f,NO,2.333333333
Mai media se bhi apeel karta hu ki notebandi ke faisle ka virodh karne walo ko jyada coverage na de.,#798196285987758081,n,2,2,2,NO,NO,NO,f,NO,2
Aaj pura desh apne paise change karwane mai laga hua hai....accha hai 2017 mai iska effect pta desh ko chalega ki kya fayeda hua notebandi k,#798198217406115840,n,2,2,2,NO,NO,NO,f,NO,2
aaj pm ne jitna sahas notebandi mai lagaya hai.....utna hi sahas aur responsibility se ganga& yamuna safai abhiyaan mai lagana chaiye....,#798198870685732868,c,2,2,2,NO,NO,NO,n,NO,2
sir vo sb to thk h is notebandi to ho Gyi par vo JNU ke najeeb ki ladai adhuri reh Gyi..,#798200901345411072,c,3,2,3,NO,NO,NO,n,NO,2.666666667
@narendramodi Toh me band Baja deta chahye Meri jaan Chali jati.Unke Ghar me jake dekho matam ban rha h tumhri waje se.Notebandi karni...,#798202889764106240,o,1,2,2,NO,NO,YES,a,NO,1.666666667
Biwiyon Ne Shauharon Se Chhipa Kar 500/1000 Ke Note Jamaa Kiye Thei Uski Wajah Se Kitne Talaak Hue?! #NoteBandi,#798207892709146625,n,2,2,2,YES,NO,NO,a,NO,2
Are Bhia up aur i chanelwa ka to notebandi se pura ka pura businessewa hi charmara gya,#798209769509007360,n,2,2,2,NO,NO,YES,a,NO,2
Modi ji ko sat sat naman.  Modi ji ka notebandi ke nirnaye bharat desh ko takriban 20 lakhs crore Rs. Inderictly milenge,#798211837674147840,n,2,3,3,NO,NO,NO,f,NO,2.666666667
Jo dukh karta hai unhe sukh jarur milta hai.modi ji ka notebandi aapko sukh pradan karega .,#798211980620275712,n,2,3,3,NO,NO,YES,f,NO,2.666666667
madam! kya aapko ye v pta hai ki last 2days me kitne bhole-bhale log notebandi ke karan mar gaye???,#798219346627526656,c,1,1,4,YES,NO,NO,a,NO,2
"@ArvindKejriwal ironically kuch gareeb notebandi se pehle bhi bahar sote the atms k, tujhe pehle kbhi fiqr nhi hui https://twitter.com/arvindkejriwal/status/798116376128798720 …",#798222778763800577,o,2,3,3,YES,NO,NO,f,NO,2.666666667
"Ye sahi h ki notebandi ne pure desh ko hila diya,lekin fir bhi hum kahenge 100 me 80 beiman fir bhi mera mera desh mahan....Jai hind",#798223394147733506,c,2,3,2,NO,YES,NO,a,NO,2.333333333
#AntiPeopleBJP Rahul aur Kejriwal dono Desh ke apradhi hain ye dono notebandi pe Desh ki Janata ko updrav karane ke liye bharka rhe hain.,#798226134592720897,o,3,3,2,NO,NO,NO,f,NO,2.666666667
Jis tarah august kranti m logo ko nirasha mili thi... Usi tarah notebandi wapis li jaye to janta ka vishwas tut jayega ab... @ArvindKejriwal,#798228492127125504,n,3,3,3,NO,NO,NO,f,NO,3
Modi ji ke notebandi ke faisle ke peeche hum indians ki hi galti... honesty to kisi mei hai ni. Aur galat hum sarkar aur modiji ko kehte hai,#798231623821066240,n,3,3,3,NO,NO,NO,f,NO,3
"Jin 'mitron' ka fayeda hona tha, ho gaya. Ab roll back karen ya chalne dein , aam aadmi ghaate mein hi raha #NoteBandi #DeMonetisation",#798237294389956609,c,3,2,3,YES,YES,NO,a,NO,2.666666667
#NoteBandi #DeMonetisation chod do na India waapis aajana jab modi ki sarkarna ho...matlab kabhi nahin,#798237840257720320,o,3,2,3,NO,NO,NO,f,NO,2.666666667
Agar notebandi ki vajah se bubai kheti ka rakwa kam ho gaya to aane wale dino me fasal na hone se pareshanike haalaat ho sakte hain.pldosome,#798261970872963073,n,2,3,3,NO,NO,NO,a,NO,2.666666667
"@rssurjewala Notebandi-aapne kaha modi ka koi dost line mein nahi dikha, aap, Sonia, Vadra, Priyanka, Chidambaram, Sibal, Lalu bhi nhi dikhe",#798341728981782529,c,3,2,2,YES,NO,NO,f,NO,2.333333333
Modi jee ka notebandi  ka nirnay ek sarahniy pryas hai  .,#798361124399960065,n,3,2,2,NO,NO,NO,f,NO,2.333333333
Notebandi tum bago me baahar h gaate rh gye idhr modi ne le li tmhari ab pucho kha2 bahaar h,#798362424508235777,c,3,3,2,NO,YES,NO,f,NO,2.666666667
500/1000 KE NOTEBANDI SE PARESHAN CORRUPT LOGON NE APNI BIWIYON KI JUTON SE PITAI LAGA KAR UNKO KHADI KI SARI PEHNAI...,#798371470481068032,o,3,4,3,NO,NO,YES,a,NO,3.333333333
"INDIA MEIN NOTEBANDI SE AAM JANTA BEHAD KHUSH JABKI CORRUPT LOGON KA GHAR COMEDY CENTER BANA HUA HAI,MAAL THIKANE LAGANE KE AJAB IDEAS",#798373300984348672,n,4,4,4,NO,NO,YES,f,NO,4
Log apke hi khilaaf kharhe ho Jaye. So iss se pehle aap modi ji ke notebandi ka samarthan kare. Or logo ki help kare note change karwane me. pic.twitter.com/7Q663pZeEp,#798375144246820864,n,3,2,3,NO,NO,NO,n,NO,2.666666667
@narendramodi @PMOIndia apse nivedan hai ki kuch bhi kare vipaksh par notebandi ka faisla aap wapas mat lena. Akhir kuch to accha ho raha ha,#798378639951679488,n,3,3,3,NO,NO,NO,f,NO,3
Jab se Notebandi hua h Rural area ke sare CSP band h.Yese me mahilaye or kisan logo ki paresani kaise dur hoga. pic.twitter.com/THoYuQo51v,#798383899680219137,n,2,2,2,YES,NO,NO,a,NO,2
@sudhirchaudhary notebandi par hamare desh ke veer jawano ki ray ko tv par dikhaiye desh ki tabiyat aur sudhregi.,#798384938043211776,n,2,2,1,NO,NO,YES,f,NO,1.666666667
@PMO*Maya mamta Bangaye radi Jabse bane notebandi.Didiki Halat behal-Varosa CPM Kejriwal. Yug Yog Jiyo Modi Saab. BHARAT MATAKI JAI.,#798386323144851457,c,3,3,2,NO,YES,NO,f,NO,2.666666667
China khush he Pakistan khush he is notebandi per kuch gadbad to nahi bhayya,#798388850368323584,c,2,2,2,YES,NO,NO,a,NO,2
@narendramodi modi ji mai kabhi vi apko pasand nahi karta tha par notebandi ka faisla mujhko apka murid bana diya hai ......thank you...,#798390097741807616,n,3,3,4,NO,NO,NO,f,NO,3.333333333
@virendersehwag Te bhi Kuch sawal hain. Shayad AAP puchoge to Modi ji jawab de dein. black money ki badi tension hai to pucho Na. #NoteBandi https://twitter.com/khalidmfp/status/798235271451942912 …,#798391543690362880,n,3,3,3,NO,NO,NO,n,NO,3
Notebandi ka pahla fayda Kashmir me pattharbaji band.Algaovadi lachar.Jaldi Aman Chen wapas ayega,#798395025356951552,n,4,3,3,NO,NO,NO,f,NO,3.333333333
@ArvindKejriwal Desh mein Notebandi hui hai tu haramzaadee aise tarap raha hai kaise Teri Naasbandi kar di @modiji ne,#798397957334794240,o,4,3,4,NO,YES,NO,n,YES,3.666666667
Notebandi say machi desh mein uthal - puthal ab tak 16 logo ki hue maut,#798406248651747332,n,1,2,2,NO,NO,NO,a,NO,1.666666667
@twitter P.M ke Es faisele ke liye  hum Har presani uthane ko ready hai. Aposition ko koi right nahi h  notebandi ke against bolne ka,#798406773761802241,n,3,3,3,NO,NO,NO,f,NO,3
Abb pata chal raha hai UP ka itna boora haal kyo hai @yadavakhilesh bahut pareshaan ho notebandi se http://www.amarujala.com/india-news/akhilesh-yadav-controversial-statement-over-black-money-and-demonetisation#.WCqmkGgKo0o.twitter …,#798407977103458304,c,3,3,3,NO,NO,NO,f,NO,3
Nasbandi may Congress gayee notebandi may pata nahi kaun kaun jayega kyoki tisra gal bhi nahi hai https://twitter.com/bhaiyyajispeaks/status/798395994098569217 …,#798417902399590400,n,3,3,3,NO,YES,NO,n,NO,3
"Kejriwal ji,  notebandi se Janta ko koi problem Nahi Hai.  But app ko Jyada problem Hai.",#798420829751177217,c,2,3,2,NO,NO,NO,f,NO,2.333333333
"#NoteBandi note wahi change hone chahiye, jaha jis bank account hai kisi aur bank mein nahi aur, bank account bhe likhna chahiye form par",#798424786586259460,n,2,2,1,NO,NO,NO,n,NO,1.666666667
"@sudhirchaudhary sir, whatsapp par yeh phailaya jaa raha hai ki Reliance waalon ko is notebandi ki khabar pehele se thi , Kya yeh such hai?",#798439953365549056,n,3,3,2,NO,NO,NO,n,NO,2.666666667
@ArvindKejriwal Sir kya dengue se pidit log aur pollution jhel rhe log innocent nhi h kya. Kam se kam noteBandi se desh ka bhala toh hoga.,#798442108508131328,n,3,3,3,YES,NO,NO,f,NO,3
"@GyanendrAw aapke priy sibbal saab ki janhit yachika notebandi ki, SC ne thukra di hai...jai modi",#798444613103185920,n,3,2,3,NO,NO,NO,f,NO,2.666666667
kitne ghabra rhe hai mama aur mayawati jaise notebandi ke baad yeh log bhukhe mar jayenge,#798450356891983872,c,2,3,3,YES,NO,NO,f,NO,2.666666667
Sabse jyada Mamtaji ka nuksan hua hai notebandi se.Isiliye sab dukhiyari ek jagh jama ho rahe hai.,#798454644213063680,n,3,3,2,NO,NO,NO,f,NO,2.666666667
"Aaj jo jo notebandi ke khilaf hai ,sab ke pas black money ka bhandar hai.",#798460796250521600,n,3,3,4,NO,NO,NO,f,NO,3.333333333
@AamAadmiParty ye batao bhai Modi Ji ne notebandi ki hai naa ki tumhari nasbandi joh itna hallaa maccha rahe...@ArvindKejriwal,#798460832015413248,o,3,3,5,NO,YES,NO,f,NO,3.666666667
@narendramodi notebandi ke pahle lncome slab 10lakh kar dene se middle man ki thodi madad ho jati,#798473354877534208,n,3,2,3,NO,NO,NO,n,NO,2.666666667
KEJRIWAAL AND ANYA CHORONKI SARKAAR KE KEHNE SE KYAHOTA HAI NOTEBANDI KARWAANA KAASKI MAKSAD AAM JANTA KO BHADKAANA AUR UNKE JAMA PAISE BHI,#798473617910558720,c,4,4,4,NO,NO,NO,n,NO,4
"Notebandi ka sabse jyada asar jammu me dikha. School, college, bazar sab khul gaye hain, algawwadi paise ki kami... http://fb.me/1uTSZze9c ",#798473852569419776,n,2,2,1,NO,NO,NO,n,NO,1.666666667
"500 aur 1000 ke notebandi se Bankon ke NPA mein bhari giravat aayi hai,yah Bankon ke liye shubh sanket hai.",#798474933357740032,n,3,2,2,NO,NO,NO,f,NO,2.333333333
3 mahine se bhi jyada k kashmir k bigade halat ko 1 notebandi k faisle ne sudhar diya. Iske liye sabhi netaon ko support me ana chahiye.,#798475237667045376,n,3,2,3,NO,NO,NO,f,NO,2.666666667
We log bhi notebandi ko jaldbaji me uthaya hua kadam bata rahe hai Jo teen talaq bolne me jara bhi samay nahi lagate...........,#798476600006148096,c,3,3,3,YES,NO,NO,f,YES,3
"Naksalwad aur maowadiyo ki chinta kar raha h  kyonki tu bhi unka hissa h, unke kahne par hi notebandi ka virodh kar raha h",#798477323460820992,o,2,2,2,NO,NO,NO,n,YES,2
bhai notebandi karn movie pit na jaye,#798481911614033920,n,2,2,3,YES,NO,NO,n,NO,2.333333333
Iss #NoteBandi ne bta diya.. #sapoot aur #kapoot me fark kya hai !!! @INCIndiapic.twitter.com/ZHTQRdDvyb,#798488661633409025,c,3,3,2,NO,YES,NO,f,NO,2.666666667
@sardanarohit Gulab Nabi Aazad ne Kal Bayan Diya NoteBandi Parr Unka CHEHRA KUCHCH AUR KAHARAHATHA SHABD KUCHCH AUR KEHRAHETHE(......,#798489876136099840,n,3,2,2,NO,NO,NO,n,NO,2.333333333
"@sardanarohit Kuchch Log Modijiko KehraheHai Ki ""NOTEBANDI TO THICK HAI LEKIN MODIJIKO RAJNEET NAHI KARNIchahiy isspe"" (.......",#798490711054135296,n,4,3,2,NO,NO,NO,n,NO,3
Jo kutte notebandi ko band karne ke liye kah rahe hai na Uni ke ghar noto ke bhore bhare pade hai,#798491684858458112,o,5,5,5,NO,NO,YES,f,NO,5
Modi ji Notebandi ne 25 ko leel liya hai.Deshbhakti magi thi ya deshwasiyo ki jan.@SudhinBhadoria @sameeullah_dr @MayaWatiBSP_ #Behanji4CM,#798492730062213120,c,4,4,5,NO,NO,NO,a,NO,4.333333333
Notebandi se kisi ki death ho gai yaa kisi ki shaadi tut gai ye to question hi wrong hai balki ye questions hone chahiye ki,#798496628290109440,n,2,2,1,NO,NO,NO,n,NO,1.666666667
"Notebandi se ghabrakar desh ke saare chor ek saath ho gaye hain aur aam janta ki paresani ka bahana bana rahe hain, Apne PM sir ka sath de.",#798497097909555201,n,3,3,4,NO,NO,NO,f,NO,3.333333333
"Pata nahi notebandi par imandar logo ko Kun itna pareshani ho Raha hai,? Ye to sirf modijee ne baiman logo ke liye kiye hai.j",#798497248992628736,n,2,3,4,YES,NO,NO,f,NO,3
Notebandi ka virodh kar ke sabhi virodhi party corruption ka sath de rahi Hi.,#798499599090479105,n,2,2,3,NO,NO,NO,f,NO,2.333333333
Hey @incindia Jab Sanjay Gandhi ke jabran Nasbandi par tumko koi aapatthi nahi hui th Notebandi par kyon? #DeMonetisation,#798510191021002756,c,3,3,3,YES,YES,NO,f,NO,3
"Aaj notebandi ke baad achank virodhi partiyo ko janta ki yaad kaise aa gyi, apni bandook janta k kandhe pr rakh kr chala rahe h,itni fikr ku",#798512741916913664,c,2,3,3,NO,NO,YES,n,NO,2.666666667
2017 MEIN MODI KO PUNJAB AUR UP MEIN JANATA IS NOTEBANDI KA  JAWAB DEGI.,#798515785694138369,c,3,3,2,NO,NO,NO,a,NO,2.666666667
"Opposition wahi kr raha jo @narendramodi chahte hai, Notebandi, Surgical strike, OROP MODI ka agenda hai,aur ab uspe hi charcha hogi",#798530583878111232,n,3,3,2,NO,NO,NO,f,NO,2.666666667
"notebandi aam janta ke liye nahi hua hai, 38 saal pahle bhi esa ho chuka hai, koi naya baat nahi hai. Achchha socho",#798533846891302912,n,2,2,2,NO,NO,NO,f,NO,2
Notebandi se jitni pareshani janta ko nhi h usse zyada paresani sbhi dalo k neta ko h.,#798536243801821184,c,2,2,1,NO,NO,NO,f,NO,1.666666667
@ndtvindia ek appeal hi kr do janta se.. Notebandi ki maar to dikha rahe ho..,#798537597425332224,n,2,2,1,NO,NO,NO,n,NO,1.666666667
Modiji ne notebandi kr ameer gareeb me fark mitaya aur bhavishya me ameero ko lootne pitne se bachaya,#798537598624874499,n,3,3,2,NO,YES,NO,f,NO,2.666666667
Notebandi se sbse zyada dukhi BJP k neta h par majboori h ha me ha milane ki aur muskurane ki,#798538475016306688,c,3,3,1,NO,NO,YES,n,NO,2.333333333
Notebandi ki baad Najeeb ki maa se milne nhi ja rhe AK ji. Hence proved Baap bada na bhaiya sabse bada rupaiya #fakehttps://twitter.com/ArvindKejriwal/status/798522129578795008 …,#798542878427508736,c,3,3,4,NO,YES,YES,n,NO,3.333333333
Kyuki Sonam Gupta bewafa hai..  #SonamGuptaBewafaHai #SonamGupta #Sonam #Gupta #notebandi #noteban #currencyban #demonetization #wackyalienpic.twitter.com/uNOsJE5BVN,#798545139207696385,n,3,3,1,YES,NO,NO,n,NO,2.333333333
Bahut Ganda Naseeb chal raha hai SRK ka.Popularity is goin down.. Upar se notebandi se Dear Zindagi ki lagegi aur Raees ki Kabil legi,#798545800074854400,n,2,2,1,NO,NO,NO,n,NO,1.666666667
Modiji ko supreme court men ye clear kahna chahiye Desh ki suraksha khatre me aa chuki hai isliye notebandi hai.,#798549146802102272,n,3,3,2,NO,NO,NO,n,NO,2.666666667
choro ki team ak sath aa rahi hai. notebandi pe,#798550112943280128,c,2,3,3,NO,NO,YES,f,NO,2.666666667
Delhi ke 67 aam admi sadme me hai notebandi ke bad,#798550404745162752,n,3,3,3,YES,NO,NO,f,NO,3
notebandi ka virodh karne wale iss par kuch kyun nahi kahte.,#798551285725327360,n,3,3,3,YES,NO,NO,f,NO,3
Dosto notebandi ki bahut charcha ho gai ab kuchh dusri bate ho jaye.,#798552079560273921,n,3,3,3,NO,NO,NO,n,NO,3
Aj Opposition ne kaha ki notebandi me VIPAKASH ek sath hai...aur main unke VIPAKSH #unitedindia,#798553529065488386,n,3,4,4,NO,YES,NO,f,NO,3.666666667
@yadavakhilesh @ArvindKejriwal @sudhirchaudhary sir jee aam adami ko notebandi ka fark nhi to aap kyu sulag rahe ho,#798555409472749568,n,3,3,3,YES,NO,NO,f,NO,3
@sardanarohit @OfficeOfRG modi ji ne to srif notebandi ki hai tumari daadi ki tarh nasbandi nahi..!,#798555802743078912,c,4,3,3,NO,YES,NO,f,NO,3.333333333
@dna Jo neta PM ki notebandi ka virodh kar  rahe hain uske negative points gina rahe hain kya unhein iske fayde nahin dikh rahe?,#798557434016972803,n,3,3,3,YES,NO,NO,f,NO,3
"Saara vipakch is muddey par ek jut ho rahen ki notebandi vapas lein, isse unke bhrasht mansikta ke saath desh virodhi mansikta parilakshit h",#798559042062778368,n,3,2,3,NO,NO,NO,f,NO,2.666666667
"Notebandi par aam public  ko jitna taklip nahin hey, utna kuchh Netaon ko hey . Yeh Netaon ko Public maph nahin karenge.  Kejiriwal Sabdhan.",#798564424768487424,o,3,3,3,NO,NO,NO,f,NO,3
"Saram karo Kejiriwal, Mamta, Papu (Rahul) Yeh sun kar ki itne lambe line pe rahke bhi aam janta iss Notebandi ko support kar rahe hein",#798569352739966976,c,3,3,3,NO,NO,NO,f,NO,3
notebandi bharat ki aam janta ke khilaf ek joononi karvahi hai. jisse aam admi ka jivan buri tarah se prabhavit hua hai,#798570275713355776,n,2,3,3,NO,NO,NO,a,NO,2.666666667
notebandi se Ganta nahi hamare neta gi lo jyada paresan hai? esliye pura des pm ke sath hai Jai hind Jai Bharat...,#798570340397891585,n,3,2,3,NO,NO,NO,f,NO,2.666666667
"@narendramodi sir Maja aa raha hai bhut jab sarkari logo ko kahtay sunta hoon ki "" Modi nay marwa diya"" sach may inkay liye Notebandi 1/2",#798571114473484288,n,3,2,3,NO,NO,NO,f,NO,2.666666667
"notebandi ke sath chayebandi shuru ho gaya hai, khub daur chala hai astha aur bhavna ka @MayawatiUp @BspUp2017",#798571530024288256,n,2,2,1,NO,YES,NO,f,NO,1.666666667
@ samaaj ko batne wali 13 political parties kal notebandi ke khilaaf ek saath-  kaafi nuksaan hua hoga shayad,#798573567361351680,n,3,3,2,NO,NO,NO,f,NO,2.666666667
"bada scam hone wala h,agar notebandi k deposit aur withdrawal k audit nhi hua,aam janta ko kaise pta lagega @LambaAlka #ModiTakeBribes 1/2https://twitter.com/AAPkSaath/status/798503990476480514 …",#798576416593874944,n,2,2,2,NO,NO,NO,a,NO,2
Hamare pyare Desh vasiyo sarkar dwara liye gaye #notebandi k faisle ka parinam ane may thoda samaye lagega uske... http://fb.me/1IOT7mafC ,#798578205279948800,n,2,2,3,NO,NO,NO,n,NO,2.333333333
@ArvindKejriwal  ji notebandi ke virodh mein dharna kyo nahi de rahen hain aapka sath vipaksh & n sharif denge @iSirArnab @sardanarohit,#798578843892273153,n,3,2,2,NO,NO,NO,n,NO,2.333333333
"@aajtak aap log pure delhi se reporting kar rhe hai notebandi par ,par delhi  me aise kai jagah hai jahaa ke halat bahut bure hai",#798581033134235648,n,2,2,1,NO,NO,NO,a,NO,1.666666667
gao dehat ke log apni mehanat se kamai hui jama paise ko bhi kaladhan samajhne lage hai. modi ji ki notebandi farman ke karan.,#798588168777760769,n,1,2,2,NO,NO,NO,a,NO,1.666666667
@SanjayAzadSln aap sanyojak a k se sath lagbhag 10000 aap karyakarta bhi paresan hai notebandi se.,#798594145384329216,n,3,3,3,NO,NO,NO,a,NO,3
Sarkar ke notebandi ke faisle se aaj aam admi bahut khush hai Sirf choro ko padesani ho rahi,#798599398678740992,c,3,3,2,NO,NO,NO,f,NO,2.666666667
@narendramodi NOTEBANDI KO safal banana ke liye jo HATHKANDA aapna sakte hai apnayieye.yeh muhim KO har haalat me humlog saffal banayenge.,#798639059400802308,n,3,2,2,NO,NO,NO,f,NO,2.333333333
Lagta hai notebandi nahi kajriwal ki  nusbandi ho gayi hai isliye bokhla raha hai,#798651596171132928,o,4,3,3,NO,YES,NO,f,NO,3.333333333
desh me jabardasti nasbandi karane wale notebandi ka virodh kar rahe hain...,#798673677826998272,c,3,3,3,NO,YES,NO,n,NO,3
Modi ki maa ka tum jaise deshdrohi ko sandesh hai. Ki notebandi se koi paresani nhi.....paresan hain to sirf amir log,#798706163852464132,o,3,3,3,NO,NO,NO,f,NO,3
